COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION NEOCHOROUDA,,
20160101 00:00,-9999.0,0.0
20160102 00:00,-9999.0,0.0
20160103 00:00,-9999.0,0.0
20160104 00:00,-9999.0,0.0
20160105 00:00,-9999.0,0.0
20160106 00:00,-9999.0,0.0
20160107 00:00,-9999.0,0.0
20160108 00:00,-9999.0,0.0
20160109 00:00,-9999.0,0.0
20160110 00:00,-9999.0,0.0
20160111 00:00,-9999.0,0.0
20160112 00:00,-9999.0,0.0
20160113 00:00,-9999.0,0.0
20160114 00:00,-9999.0,0.0
20160115 00:00,-9999.0,0.0
20160116 00:00,-9999.0,0.0
20160117 00:00,-9999.0,0.0
20160118 00:00,-9999.0,0.0
20160119 00:00,-9999.0,0.0
20160120 00:00,-9999.0,0.0
20160121 00:00,-9999.0,0.0
20160122 00:00,-9999.0,0.0
20160123 00:00,-9999.0,0.0
20160124 00:00,-9999.0,0.0
20160125 00:00,-9999.0,0.0
20160126 00:00,-9999.0,0.0
20160127 00:00,-9999.0,0.0
20160128 00:00,-9999.0,0.0
20160129 00:00,-9999.0,0.0
20160130 00:00,-9999.0,0.0
20160131 00:00,-9999.0,0.0
20160201 00:00,-9999.0,0.0
20160202 00:00,-9999.0,0.0
20160203 00:00,-9999.0,0.0
20160204 00:00,-9999.0,0.0
20160205 00:00,-9999.0,0.0
20160206 00:00,-9999.0,0.0
20160207 00:00,-9999.0,0.0
20160208 00:00,-9999.0,0.0
20160209 00:00,-9999.0,0.0
20160210 00:00,-9999.0,0.0
20160211 00:00,-9999.0,0.0
20160212 00:00,-9999.0,0.0
20160213 00:00,-9999.0,0.0
20160214 00:00,-9999.0,0.0
20160215 00:00,-9999.0,0.0
20160216 00:00,-9999.0,0.0
20160217 00:00,-9999.0,0.0
20160218 00:00,-9999.0,0.0
20160219 00:00,-9999.0,0.0
20160220 00:00,-9999.0,0.0
20160221 00:00,-9999.0,0.0
20160222 00:00,-9999.0,0.0
20160223 00:00,-9999.0,0.0
20160224 00:00,-9999.0,0.0
20160225 00:00,-9999.0,0.0
20160226 00:00,-9999.0,0.0
20160227 00:00,-9999.0,0.0
20160228 00:00,-9999.0,0.0
20160229 00:00,-9999.0,0.0
20160301 00:00,-9999.0,0.0
20160302 00:00,-9999.0,0.0
20160303 00:00,-9999.0,0.0
20160304 00:00,-9999.0,0.0
20160305 00:00,-9999.0,0.0
20160306 00:00,-9999.0,0.0
20160307 00:00,-9999.0,0.0
20160308 00:00,-9999.0,0.0
20160309 00:00,-9999.0,0.0
20160310 00:00,-9999.0,0.0
20160311 00:00,-9999.0,0.0
20160312 00:00,-9999.0,0.0
20160313 00:00,-9999.0,0.0
20160314 00:00,-9999.0,0.0
20160315 00:00,-9999.0,0.0
20160316 00:00,-9999.0,0.0
20160317 00:00,-9999.0,0.0
20160318 00:00,-9999.0,0.0
20160319 00:00,-9999.0,0.0
20160320 00:00,-9999.0,0.0
20160321 00:00,-9999.0,0.0
20160322 00:00,-9999.0,0.0
20160323 00:00,-9999.0,0.0
20160324 00:00,-9999.0,0.0
20160325 00:00,-9999.0,0.0
20160326 00:00,-9999.0,0.0
20160327 00:00,-9999.0,0.0
20160328 00:00,-9999.0,0.0
20160329 00:00,-9999.0,0.0
20160330 00:00,-9999.0,0.0
20160331 00:00,-9999.0,0.0
20160401 00:00,-9999.0,0.0
20160402 00:00,-9999.0,0.0
20160403 00:00,-9999.0,0.0
20160404 00:00,-9999.0,0.0
20160405 00:00,-9999.0,0.0
20160406 00:00,-9999.0,0.0
20160407 00:00,-9999.0,0.0
20160408 00:00,-9999.0,0.0
20160409 00:00,-9999.0,0.0
20160410 00:00,-9999.0,0.0
20160411 00:00,-9999.0,0.0
20160412 00:00,-9999.0,0.0
20160413 00:00,-9999.0,0.0
20160414 00:00,-9999.0,0.0
20160415 00:00,-9999.0,0.0
20160416 00:00,-9999.0,0.0
20160417 00:00,-9999.0,0.0
20160418 00:00,-9999.0,0.0
20160419 00:00,-9999.0,0.0
20160420 00:00,-9999.0,0.0
20160421 00:00,-9999.0,0.0
20160422 00:00,-9999.0,0.0
20160423 00:00,-9999.0,0.0
20160424 00:00,-9999.0,0.0
20160425 00:00,-9999.0,0.0
20160426 00:00,-9999.0,0.0
20160427 00:00,-9999.0,0.0
20160428 00:00,-9999.0,0.0
20160429 00:00,-9999.0,0.0
20160430 00:00,-9999.0,0.0
20160501 00:00,-9999.0,0.0
20160502 00:00,-9999.0,0.0
20160503 00:00,-9999.0,0.0
20160504 00:00,-9999.0,0.0
20160505 00:00,-9999.0,0.0
20160506 00:00,-9999.0,0.0
20160507 00:00,-9999.0,0.0
20160508 00:00,-9999.0,0.0
20160509 00:00,-9999.0,0.0
20160510 00:00,-9999.0,0.0
20160511 00:00,-9999.0,0.0
20160512 00:00,-9999.0,0.0
20160513 00:00,-9999.0,0.0
20160514 00:00,-9999.0,0.0
20160515 00:00,-9999.0,0.0
20160516 00:00,-9999.0,0.0
20160517 00:00,-9999.0,0.0
20160518 00:00,-9999.0,0.0
20160519 00:00,-9999.0,0.0
20160520 00:00,-9999.0,0.0
20160521 00:00,-9999.0,0.0
20160522 00:00,-9999.0,0.0
20160523 00:00,-9999.0,0.0
20160524 00:00,-9999.0,0.0
20160525 00:00,-9999.0,0.0
20160526 00:00,-9999.0,0.0
20160527 00:00,-9999.0,0.0
20160528 00:00,-9999.0,0.0
20160529 00:00,-9999.0,0.0
20160530 00:00,-9999.0,0.0
20160531 00:00,-9999.0,0.0
20160601 00:00,-9999.0,0.0
20160602 00:00,-9999.0,0.0
20160603 00:00,-9999.0,0.0
20160604 00:00,-9999.0,0.0
20160605 00:00,-9999.0,0.0
20160606 00:00,-9999.0,0.0
20160607 00:00,-9999.0,0.0
20160608 00:00,-9999.0,0.0
20160609 00:00,-9999.0,0.0
20160610 00:00,-9999.0,0.0
20160611 00:00,-9999.0,0.0
20160612 00:00,-9999.0,0.0
20160613 00:00,-9999.0,0.0
20160614 00:00,-9999.0,0.0
20160615 00:00,-9999.0,0.0
20160616 00:00,-9999.0,0.0
20160617 00:00,-9999.0,0.0
20160618 00:00,-9999.0,0.0
20160619 00:00,-9999.0,0.0
20160620 00:00,-9999.0,0.0
20160621 00:00,-9999.0,0.0
20160622 00:00,-9999.0,0.0
20160623 00:00,-9999.0,0.0
20160624 00:00,-9999.0,0.0
20160625 00:00,-9999.0,0.0
20160626 00:00,-9999.0,0.0
20160627 00:00,-9999.0,0.0
20160628 00:00,-9999.0,0.0
20160629 00:00,-9999.0,0.0
20160630 00:00,-9999.0,0.0
20160701 00:00,-9999.0,0.0
20160702 00:00,-9999.0,0.0
20160703 00:00,-9999.0,0.0
20160704 00:00,-9999.0,0.0
20160705 00:00,-9999.0,0.0
20160706 00:00,-9999.0,0.0
20160707 00:00,-9999.0,0.0
20160708 00:00,-9999.0,0.0
20160709 00:00,-9999.0,0.0
20160710 00:00,-9999.0,0.0
20160711 00:00,-9999.0,0.0
20160712 00:00,-9999.0,0.0
20160713 00:00,-9999.0,0.0
20160714 00:00,-9999.0,0.0
20160715 00:00,-9999.0,0.0
20160716 00:00,-9999.0,0.0
20160717 00:00,-9999.0,0.0
20160718 00:00,-9999.0,0.0
20160719 00:00,-9999.0,0.0
20160720 00:00,-9999.0,0.0
20160721 00:00,-9999.0,0.0
20160722 00:00,-9999.0,0.0
20160723 00:00,-9999.0,0.0
20160724 00:00,-9999.0,0.0
20160725 00:00,-9999.0,0.0
20160726 00:00,-9999.0,0.0
20160727 00:00,-9999.0,0.0
20160728 00:00,-9999.0,0.0
20160729 00:00,-9999.0,0.0
20160730 00:00,-9999.0,0.0
20160731 00:00,-9999.0,0.0
20160801 00:00,-9999.0,0.0
20160802 00:00,-9999.0,0.0
20160803 00:00,-9999.0,0.0
20160804 00:00,-9999.0,0.0
20160805 00:00,-9999.0,0.0
20160806 00:00,-9999.0,0.0
20160807 00:00,-9999.0,0.0
20160808 00:00,-9999.0,0.0
20160809 00:00,-9999.0,0.0
20160810 00:00,-9999.0,0.0
20160811 00:00,-9999.0,0.0
20160812 00:00,-9999.0,0.0
20160813 00:00,-9999.0,0.0
20160814 00:00,-9999.0,0.0
20160815 00:00,-9999.0,0.0
20160816 00:00,-9999.0,0.0
20160817 00:00,-9999.0,0.0
20160818 00:00,-9999.0,0.0
20160819 00:00,-9999.0,0.0
20160820 00:00,-9999.0,0.0
20160821 00:00,-9999.0,0.0
20160822 00:00,-9999.0,0.0
20160823 00:00,-9999.0,0.0
20160824 00:00,-9999.0,0.0
20160825 00:00,-9999.0,0.0
20160826 00:00,-9999.0,0.0
20160827 00:00,-9999.0,0.0
20160828 00:00,-9999.0,0.0
20160829 00:00,-9999.0,0.0
20160830 00:00,-9999.0,0.0
20160831 00:00,-9999.0,0.0
20160901 00:00,-9999.0,0.0
20160902 00:00,-9999.0,0.0
20160903 00:00,-9999.0,0.0
20160904 00:00,-9999.0,0.0
20160905 00:00,-9999.0,0.0
20160906 00:00,-9999.0,0.0
20160907 00:00,-9999.0,0.0
20160908 00:00,-9999.0,0.0
20160909 00:00,23.0,1.0
20160910 00:00,27.0,1.0
20160911 00:00,34.0,1.0
20160912 00:00,42.0,1.0
20160913 00:00,30.0,1.0
20160914 00:00,32.0,1.0
20160915 00:00,27.0,1.0
20160916 00:00,39.0,1.0
20160917 00:00,33.0,1.0
20160918 00:00,31.0,1.0
20160919 00:00,22.0,1.0
20160920 00:00,9.0,1.0
20160921 00:00,16.0,1.0
20160922 00:00,18.0,1.0
20160923 00:00,15.0,1.0
20160924 00:00,16.0,1.0
20160925 00:00,18.0,1.0
20160926 00:00,26.0,1.0
20160927 00:00,21.0,1.0
20160928 00:00,23.0,1.0
20160929 00:00,25.0,1.0
20160930 00:00,30.0,1.0
20161001 00:00,27.0,1.0
20161002 00:00,26.0,1.0
20161003 00:00,37.0,1.0
20161004 00:00,20.0,1.0
20161005 00:00,15.0,1.0
20161006 00:00,20.0,1.0
20161007 00:00,24.0,1.0
20161008 00:00,14.0,1.0
20161009 00:00,17.0,1.0
20161010 00:00,16.0,1.0
20161011 00:00,19.0,1.0
20161012 00:00,16.0,1.0
20161013 00:00,12.0,1.0
20161014 00:00,21.0,1.0
20161015 00:00,30.0,1.0
20161016 00:00,32.0,1.0
20161017 00:00,19.0,1.0
20161018 00:00,19.0,1.0
20161019 00:00,14.0,1.0
20161020 00:00,22.0,1.0
20161021 00:00,21.0,1.0
20161022 00:00,22.0,1.0
20161023 00:00,29.0,1.0
20161024 00:00,33.0,1.0
20161025 00:00,33.0,1.0
20161026 00:00,38.0,1.0
20161027 00:00,28.0,1.0
20161028 00:00,14.0,1.0
20161029 00:00,14.0,1.0
20161030 00:00,17.0,1.0
20161031 00:00,17.0,1.0
20161101 00:00,17.0,1.0
20161102 00:00,24.0,1.0
20161103 00:00,29.0,1.0
20161104 00:00,18.0,1.0
20161105 00:00,28.0,1.0
20161106 00:00,29.0,1.0
20161107 00:00,31.0,1.0
20161108 00:00,53.0,1.0
20161109 00:00,20.0,1.0
20161110 00:00,14.0,1.0
20161111 00:00,-9999.0,0.0
20161112 00:00,-9999.0,0.0
20161113 00:00,-9999.0,0.0
20161114 00:00,-9999.0,0.0
20161115 00:00,17.0,1.0
20161116 00:00,21.0,1.0
20161117 00:00,30.0,1.0
20161118 00:00,38.0,1.0
20161119 00:00,37.0,1.0
20161120 00:00,40.0,1.0
20161121 00:00,40.0,1.0
20161122 00:00,28.0,1.0
20161123 00:00,27.0,1.0
20161124 00:00,34.0,1.0
20161125 00:00,39.0,1.0
20161126 00:00,53.0,1.0
20161127 00:00,43.0,1.0
20161128 00:00,26.0,1.0
20161129 00:00,10.0,1.0
20161130 00:00,17.0,1.0
20161201 00:00,16.0,1.0
20161202 00:00,16.0,1.0
20161203 00:00,10.0,1.0
20161204 00:00,16.0,1.0
20161205 00:00,16.0,1.0
20161206 00:00,29.0,1.0
20161207 00:00,23.0,1.0
20161208 00:00,23.0,1.0
20161209 00:00,39.0,1.0
20161210 00:00,20.0,1.0
20161211 00:00,22.0,1.0
20161212 00:00,24.0,1.0
20161213 00:00,16.0,1.0
20161214 00:00,23.0,1.0
20161215 00:00,18.0,1.0
20161216 00:00,21.0,1.0
20161217 00:00,23.0,1.0
20161218 00:00,26.0,1.0
20161219 00:00,34.0,1.0
20161220 00:00,35.0,1.0
20161221 00:00,24.0,1.0
20161222 00:00,26.0,1.0
20161223 00:00,26.0,1.0
20161224 00:00,22.0,1.0
20161225 00:00,22.0,1.0
20161226 00:00,10.0,1.0
20161227 00:00,14.0,1.0
20161228 00:00,14.0,1.0
20161229 00:00,-9999.0,0.0
20161230 00:00,14.0,1.0
20161231 00:00,-9999.0,0.0
